EmployeeNumber,Age,Tenure,Turnover,HourlyRate ,HoursWeekly,CompensationType,AnnualSalary,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked,AnnualProfessionalDevHrs,PaycheckMethod,TextMessageOptIn,HourlyRate _orig
13.0,38.0,4.0,Yes,85.24,40.0,Salary,177299.2,2.0,Research,Male,Single,6.0,15.0,Mailed Check,Yes,$85.24 
14.0,47.0,16.0,Yes,85.24,40.0,Salary,177299.2,2.0,Research,Male,Single,5.0,5.0,Mailed Check,Yes,$85.24 
15.0,30.0,2.0,Yes,30.42,40.0,Salary,63273.6,36.0,Information_Technology,Female,Married,2.0,6.0,Mailed Check,Yes,$30.42 
16.0,38.0,1.0,No,30.42,40.0,Salary,63273.6,36.0,Information_Technology,Female,Married,3.0,5.0,Mailed Check,Yes,$30.42 
17.0,55.0,20.0,Yes,88.5,40.0,Salary,284080.0,60.0,Information_Technology,Prefer Not To Answer,Married,7.0,9.0,Mailed Check,Yes,$88.50 
18.0,59.0,16.0,Yes,88.5,40.0,Salary,284080.0,60.0,Information_Technology,Prefer Not To Answer,Married,5.0,15.0,Mailed Check,Yes,$88.50 
19.0,29.0,1.0,Yes,24.3,40.0,Salary,50544.0,2.0,Sales,Female,Married,1.0,15.0,Mailed Check,Yes,$24.30 
20.0,35.0,10.0,No,24.3,40.0,Salary,50544.0,2.0,Sales,Female,Married,5.0,15.0,Mailed Check,Yes,$24.30 
21.0,30.0,6.0,No,26.28,40.0,Salary,54662.4,14.0,Research,Female,Married,3.0,15.0,Direct Deposit,Yes,$26.28 
22.0,37.0,7.0,Yes,26.28,40.0,Salary,54662.4,14.0,Research,Female,Married,5.0,15.0,Direct Deposit,Yes,$26.28 
23.0,44.0,9.0,No,87.22,40.0,Salary,281417.6,75.0,Manufacturing,Female,Divorced,2.0,16.0,Mailed Check,Yes,$87.22 
24.0,54.0,15.0,No,87.22,40.0,Salary,281417.6,75.0,Manufacturing,Female,Divorced,7.0,24.0,Mailed Check,Yes,$87.22 
25.0,36.0,3.0,Yes,87.2,40.0,Salary,281376.0,5.0,Research,Female,Married,1.0,10.0,Direct Deposit,Yes,$87.20 
26.0,40.0,8.0,No,87.2,40.0,Salary,281376.0,5.0,Research,Female,Married,4.0,15.0,Direct Deposit,Yes,$87.20 
27.0,32.0,6.0,No,31.02,40.0,Salary,64521.6,158.0,Research,Female,Married,1.0,18.0,Mailed Check,Yes,$31.02 
28.0,32.0,5.0,No,31.02,40.0,Salary,64521.6,158.0,Research,Female,Married,2.0,11.0,Mailed Check,Yes,$31.02 
29.0,41.0,7.0,No,89.4,40.0,Salary,285952.0,28.0,Healthcare,Prefer Not To Answer,Single,6.0,20.0,Mailed Check,Yes,$89.40 
30.0,44.0,18.0,Yes,89.4,40.0,Salary,285952.0,28.0,Healthcare,Prefer Not To Answer,Single,6.0,25.0,Mailed Check,Yes,$89.40 
31.0,30.0,1.0,No,24.5,40.0,Salary,50960.0,-4.0,Human_Resources,Female,Divorced,3.0,17.0,Mailed Check,Yes,$24.50 
32.0,34.0,2.0,No,24.5,40.0,Salary,50960.0,-4.0,Human_Resources,Female,Divorced,3.0,15.0,Mailed Check,Yes,$24.50 
33.0,38.0,8.0,No,88.78,40.0,Salary,284662.4,0.0,Laboratory,Prefer Not To Answer,Divorced,1.0,21.0,Mailed Check,Yes,$88.78 
34.0,56.0,8.0,No,88.78,40.0,Salary,284662.4,0.0,Laboratory,Prefer Not To Answer,Divorced,3.0,25.0,Mailed Check,Yes,$88.78 
35.0,28.0,4.0,No,25.14,40.0,Salary,52291.2,158.0,Laboratory,Female,Married,2.0,12.0,Mailed Check,Yes,$25.14 
36.0,35.0,6.0,Yes,25.14,40.0,Salary,52291.2,158.0,Laboratory,Female,Married,6.0,7.0,Mailed Check,Yes,$25.14 
37.0,37.0,5.0,Yes,85.44,40.0,Salary,177715.2,33.0,Sales,Female,Single,6.0,12.0,Mailed Check,Yes,$85.44 
38.0,44.0,10.0,No,85.44,40.0,Salary,177715.2,33.0,Sales,Female,Single,7.0,19.0,Mailed Check,Yes,$85.44 
39.0,36.0,7.0,No,29.21,40.0,Salary,60756.8,79.0,Laboratory,Female,Divorced,2.0,15.0,Direct Deposit,Yes,$29.21 
40.0,37.0,9.0,No,29.21,40.0,Salary,60756.8,79.0,Laboratory,Female,Divorced,4.0,22.0,Direct Deposit,Yes,$29.21 
41.0,30.0,1.0,No,23.86,40.0,Salary,49628.8,50.0,Marketing,Female,Single,1.0,12.0,Mailed Check,Yes,$23.86 
42.0,30.0,8.0,Yes,23.86,40.0,Salary,49628.8,50.0,Marketing,Female,Single,2.0,21.0,Mailed Check,Yes,$23.86 
43.0,21.0,1.0,Yes,22.24,40.0,Salary,5259.2,13.0,Research,Female,Single,3.0,12.0,Direct Deposit,Yes,$22.24 
44.0,23.0,1.0,Yes,22.24,40.0,Salary,5259.2,13.0,Research,Female,Married,2.0,11.0,Direct Deposit,Yes,$22.24 
45.0,36.0,8.0,No,84.7,40.0,Salary,176176.0,75.0,Manufacturing,Prefer Not To Answer,Divorced,6.0,9.0,Mailed Check,Yes,$84.70 
46.0,45.0,20.0,No,84.7,40.0,Salary,176176.0,75.0,Manufacturing,Prefer Not To Answer,Divorced,4.0,9.0,Mailed Check,Yes,$84.70 
47.0,36.0,1.0,Yes,26.48,40.0,Salary,55078.4,57.0,Sales,Female,Divorced,6.0,24.0,Direct Deposit,Yes,$26.48 
48.0,38.0,3.0,Yes,26.48,40.0,Salary,55078.4,57.0,Sales,Female,Divorced,1.0,10.0,Direct Deposit,Yes,$26.48 
49.0,36.0,2.0,Yes,28.3,40.0,Salary,58864.0,82.0,Sales,Female,Married,2.0,24.0,Mailed Check,Yes,$28.30 
50.0,40.0,8.0,No,28.3,40.0,Salary,58864.0,82.0,Sales,Female,Married,5.0,14.0,Mailed Check,Yes,$28.30 
51.0,27.0,3.0,Yes,22.72,40.0,Salary,47257.6,4.0,Information_Technology,Male,Single,2.0,5.0,Mailed Check,Yes,$22.72 
52.0,32.0,3.0,Yes,22.72,40.0,Salary,47257.6,4.0,Information_Technology,Male,Single,3.0,14.0,Mailed Check,Yes,$22.72 
53.0,44.0,18.0,No,87.0,40.0,Salary,280960.0,42.0,Manufacturing,Prefer Not To Answer,Divorced,7.0,13.0,Mailed Check,Yes,$87.00 
54.0,47.0,9.0,No,87.0,40.0,Salary,280960.0,42.0,Manufacturing,Prefer Not To Answer,Divorced,1.0,15.0,Mailed Check,Yes,$87.00 
55.0,44.0,16.0,No,31.3,40.0,Salary,-15896.0,-5.0,Marketing,Male,Divorced,8.0,22.0,Mailed Check,Yes,$31.30 
56.0,50.0,8.0,No,31.3,40.0,Salary,-15896.0,-5.0,Marketing,Male,Divorced,5.0,10.0,Mailed Check,Yes,$31.30 
57.0,31.0,9.0,No,26.33,40.0,Salary,54766.4,60.0,Healthcare,Male,Single,1.0,15.0,Mailed Check,Yes,$26.33 
58.0,33.0,5.0,Yes,26.33,40.0,Salary,54766.4,60.0,Healthcare,Male,Single,3.0,17.0,Mailed Check,Yes,$26.33 
59.0,46.0,16.0,Yes,89.35,40.0,Salary,285848.0,64.0,Healthcare,Prefer Not To Answer,Single,2.0,15.0,Mailed Check,Yes,$89.35 
60.0,48.0,17.0,Yes,89.35,40.0,Salary,285848.0,64.0,Healthcare,Prefer Not To Answer,Single,1.0,6.0,Mailed Check,Yes,$89.35 
61.0,37.0,8.0,Yes,28.66,40.0,Salary,59612.8,33.0,Marketing,Female,Single,6.0,15.0,Mailed Check,Yes,$28.66 
62.0,39.0,4.0,Yes,28.66,40.0,Salary,59612.8,33.0,Marketing,Female,Single,3.0,15.0,Mailed Check,Yes,$28.66 
63.0,33.0,5.0,No,26.14,40.0,Salary,54371.2,36.0,Manufacturing,Female,Divorced,1.0,15.0,Mailed Check,Yes,$26.14 
64.0,39.0,1.0,No,26.14,40.0,Salary,54371.2,36.0,Manufacturing,Female,Divorced,2.0,11.0,Mailed Check,Yes,$26.14 
65.0,30.0,3.0,Yes,29.49,40.0,Salary,-28660.8,-8.0,Marketing,Female,Married,1.0,19.0,Mailed Check,Yes,$29.49 
66.0,32.0,5.0,Yes,29.49,40.0,Salary,-28660.8,-8.0,Marketing,Female,Married,3.0,8.0,Mailed Check,Yes,$29.49 
67.0,30.0,8.0,No,24.74,40.0,Salary,51459.2,77.0,Sales,Male,Divorced,1.0,21.0,Mailed Check,Yes,$24.74 
68.0,32.0,4.0,No,24.74,40.0,Salary,51459.2,77.0,Sales,Male,Divorced,2.0,8.0,Mailed Check,Yes,$24.74 
69.0,40.0,4.0,Yes,85.33,40.0,Salary,177486.4,1.0,Sales,Prefer Not To Answer,Single,9.0,19.0,Mailed Check,Yes,$85.33 
70.0,45.0,16.0,Yes,85.33,40.0,Salary,177486.4,1.0,Sales,Prefer Not To Answer,Single,5.0,15.0,Mailed Check,Yes,$85.33 
71.0,48.0,7.0,No,85.22,40.0,Salary,177257.6,33.0,Laboratory,Prefer Not To Answer,Single,8.0,6.0,Mailed Check,Yes,$85.22 
72.0,57.0,5.0,No,85.22,40.0,Salary,177257.6,33.0,Laboratory,Prefer Not To Answer,Single,5.0,12.0,Mailed Check,Yes,$85.22 
73.0,28.0,6.0,No,22.8,40.0,Salary,47424.0,24.0,Research,Female,Divorced,2.0,19.0,Mailed Check,Yes,$22.80 
74.0,28.0,1.0,Yes,22.8,40.0,Salary,47424.0,24.0,Research,Female,Divorced,3.0,18.0,Mailed Check,Yes,$22.80 
75.0,34.0,6.0,No,28.2,40.0,Salary,58656.0,12.0,Sales,Male,Single,4.0,17.0,Direct Deposit,Yes,$28.20 
76.0,40.0,4.0,No,28.2,40.0,Salary,58656.0,12.0,Sales,Male,Single,5.0,20.0,Direct Deposit,Yes,$28.20 
77.0,30.0,7.0,No,28.1,40.0,Salary,58448.0,2.0,Sales,Male,Single,1.0,12.0,Mailed Check,Yes,$28.10 
78.0,40.0,3.0,Yes,28.1,40.0,Salary,58448.0,2.0,Sales,Male,Single,1.0,22.0,Mailed Check,Yes,$28.10 
79.0,34.0,9.0,No,26.59,40.0,Salary,55307.2,67.0,Information_Technology,Female,Divorced,2.0,20.0,Mailed Check,Yes,$26.59 
80.0,37.0,3.0,No,26.59,40.0,Salary,55307.2,67.0,Information_Technology,Female,Divorced,3.0,6.0,Mailed Check,Yes,$26.59 
81.0,52.0,6.0,No,89.31,40.0,Salary,285764.8,41.0,Research,Male,Married,7.0,15.0,Mailed Check,Yes,$89.31 
82.0,53.0,9.0,Yes,89.31,40.0,Salary,285764.8,41.0,Research,Male,Married,6.0,15.0,Mailed Check,Yes,$89.31 
83.0,50.0,10.0,No,88.27,40.0,Salary,283601.6,60.0,Research,Male,Married,3.0,12.0,Direct Deposit,Yes,$88.27 
84.0,54.0,17.0,No,88.27,40.0,Salary,283601.6,60.0,Research,Male,Married,6.0,16.0,Direct Deposit,Yes,$88.27 
85.0,53.0,18.0,Yes,31.39,40.0,Salary,65291.2,62.0,Information_Technology,Female,Divorced,2.0,25.0,Mailed Check,Yes,$31.39 
86.0,57.0,14.0,Yes,31.39,40.0,Salary,65291.2,62.0,Information_Technology,Female,Divorced,9.0,18.0,Mailed Check,Yes,$31.39 
87.0,39.0,7.0,Yes,31.39,40.0,Salary,65291.2,47.0,Information_Technology,Female,Divorced,4.0,6.0,Mailed Check,Yes,$31.39 
88.0,55.0,10.0,Yes,31.39,40.0,Salary,65291.2,47.0,Information_Technology,Female,Divorced,1.0,15.0,Mailed Check,Yes,$31.39 
89.0,31.0,9.0,No,28.73,40.0,Salary,59758.4,28.0,Laboratory,Female,Married,1.0,25.0,Mailed Check,Yes,$28.73 
90.0,40.0,1.0,No,28.73,40.0,Salary,59758.4,28.0,Laboratory,Female,Married,6.0,10.0,Mailed Check,Yes,$28.73 
91.0,36.0,9.0,No,28.73,40.0,Salary,59758.4,-7.0,Laboratory,Female,Married,3.0,11.0,Mailed Check,Yes,$28.73 
92.0,39.0,4.0,No,28.73,40.0,Salary,59758.4,-7.0,Laboratory,Female,Married,6.0,18.0,Mailed Check,Yes,$28.73 
93.0,44.0,8.0,Yes,48.45,40.0,Salary,100776.0,76.0,Marketing,Female,Married,5.0,12.0,Mailed Check,Yes,$48.45 
94.0,59.0,6.0,Yes,48.45,40.0,Salary,100776.0,76.0,Marketing,Female,Married,7.0,15.0,Mailed Check,Yes,$48.45 
95.0,48.0,13.0,Yes,85.4,40.0,Salary,177632.0,31.0,Research,Male,Single,7.0,5.0,Mailed Check,Yes,$85.40 
96.0,54.0,17.0,No,85.4,40.0,Salary,177632.0,31.0,Research,Male,Single,2.0,25.0,Mailed Check,Yes,$85.40 
97.0,44.0,6.0,No,71.9,40.0,Salary,149552.0,32.0,Marketing,Male,Married,6.0,15.0,Mailed Check,Yes,$71.90 
98.0,58.0,19.0,No,71.9,40.0,Salary,149552.0,32.0,Marketing,Male,Married,5.0,23.0,Mailed Check,Yes,$71.90 
99.0,48.0,17.0,Yes,71.33,40.0,Salary,148075.2,50.0,Sales,Prefer Not To Answer,Married,8.0,8.0,Mailed Check,Yes,$71.33 
100.0,57.0,17.0,No,71.33,40.0,Salary,148075.2,50.0,Sales,Prefer Not To Answer,Married,9.0,22.0,Mailed Check,Yes,$71.33 
101.0,49.0,7.0,No,65.62,40.0,Salary,136489.6,15.0,Research,Male,Divorced,6.0,17.0,Direct Deposit,Yes,$65.62 
102.0,52.0,17.0,Yes,65.62,40.0,Salary,136489.6,15.0,Research,Male,Divorced,1.0,6.0,Direct Deposit,Yes,$65.62 
103.0,37.0,10.0,Yes,56.11,40.0,Salary,116708.8,33.0,Healthcare,Male,Divorced,1.0,15.0,Mailed Check,Yes,$56.11 
104.0,49.0,7.0,Yes,56.11,40.0,Salary,116708.8,33.0,Healthcare,Male,Divorced,1.0,22.0,Mailed Check,Yes,$56.11 
105.0,44.0,14.0,No,80.12,40.0,Salary,166649.6,56.0,Human_Resources,Male,Married,1.0,15.0,Mailed Check,Yes,$80.12 
106.0,59.0,13.0,Yes,80.12,40.0,Salary,166649.6,56.0,Human_Resources,Male,Married,9.0,6.0,Mailed Check,Yes,$80.12 
107.0,34.0,4.0,No,25.71,40.0,Salary,53476.8,32.0,Marketing,Male,Single,3.0,17.0,Direct Deposit,Yes,$25.71 
108.0,34.0,1.0,No,25.71,40.0,Salary,53476.8,32.0,Marketing,Male,Single,5.0,5.0,Direct Deposit,Yes,$25.71 
109.0,41.0,6.0,Yes,97.05,40.0,Salary,202864.0,22.0,Research,Female,Divorced,3.0,23.0,Mailed Check,Yes,$97.05 
110.0,42.0,3.0,No,97.05,40.0,Salary,202864.0,22.0,Research,Female,Divorced,5.0,6.0,Mailed Check,Yes,$97.05 
111.0,33.0,4.0,Yes,25.17,40.0,Salary,52353.6,51.0,Information_Technology,Male,Single,6.0,14.0,Direct Deposit,Yes,$25.17 
112.0,35.0,7.0,Yes,25.17,40.0,Salary,52353.6,51.0,Information_Technology,Male,Single,6.0,25.0,Direct Deposit,Yes,$25.17 
113.0,39.0,8.0,Yes,81.64,40.0,Salary,169811.2,60.0,Marketing,Male,Divorced,2.0,17.0,Mailed Check,Yes,$81.64 
114.0,58.0,7.0,No,81.64,40.0,Salary,169811.2,60.0,Marketing,Male,Divorced,2.0,12.0,Mailed Check,Yes,$81.64 
115.0,44.0,12.0,Yes,40.53,40.0,Salary,84302.4,58.0,Sales,Female,Married,9.0,15.0,Mailed Check,Yes,$40.53 
116.0,60.0,10.0,No,40.53,40.0,Salary,84302.4,58.0,Sales,Female,Married,9.0,8.0,Mailed Check,Yes,$40.53 
117.0,31.0,3.0,No,23.42,40.0,Salary,48713.6,-5.0,Research,Female,Divorced,2.0,6.0,Direct Deposit,Yes,$23.42 
118.0,35.0,4.0,Yes,23.42,40.0,Salary,48713.6,-5.0,Research,Female,Divorced,4.0,15.0,Direct Deposit,Yes,$23.42 
119.0,37.0,3.0,No,65.52,40.0,Salary,136281.6,36.0,Healthcare,Female,Married,2.0,11.0,Mailed Check,Yes,$65.52 
120.0,48.0,19.0,Yes,65.52,40.0,Salary,136281.6,36.0,Healthcare,Female,Married,7.0,23.0,Mailed Check,Yes,$65.52 
121.0,33.0,3.0,Yes,28.09,40.0,Salary,58427.2,34.0,Sales,Female,Single,1.0,13.0,Mailed Check,Yes,$28.09 
122.0,34.0,1.0,Yes,28.09,40.0,Salary,58427.2,34.0,Sales,Female,Single,4.0,22.0,Mailed Check,Yes,$28.09 
123.0,35.0,6.0,Yes,26.84,40.0,Salary,55827.2,60.0,Sales,Male,Divorced,1.0,21.0,Mailed Check,Yes,$26.84 
124.0,38.0,3.0,No,26.84,40.0,Salary,55827.2,60.0,Sales,Male,Divorced,2.0,25.0,Mailed Check,Yes,$26.84 
125.0,36.0,10.0,Yes,34.87,40.0,Salary,72529.6,1.0,Research,Female,Single,1.0,15.0,Mailed Check,Yes,$34.87 
126.0,48.0,13.0,Yes,34.87,40.0,Salary,72529.6,1.0,Research,Female,Single,4.0,13.0,Mailed Check,Yes,$34.87 
127.0,38.0,5.0,Yes,83.05,40.0,Salary,172744.0,37.0,Marketing,Female,Single,1.0,5.0,Mailed Check,Yes,$83.05 
128.0,42.0,8.0,No,83.05,40.0,Salary,172744.0,37.0,Marketing,Female,Single,6.0,12.0,Mailed Check,Yes,$83.05 
129.0,40.0,10.0,No,59.45,40.0,Salary,123656.0,42.0,Research,Female,Married,6.0,15.0,Mailed Check,Yes,$59.45 
130.0,45.0,16.0,Yes,59.45,40.0,Salary,123656.0,42.0,Research,Female,Married,3.0,14.0,Mailed Check,Yes,$59.45 
131.0,56.0,16.0,No,35.54,40.0,Salary,73923.2,16.0,Healthcare,Male,Married,7.0,8.0,Mailed Check,Yes,$35.54 
132.0,56.0,18.0,No,35.54,40.0,Salary,73923.2,16.0,Healthcare,Male,Married,3.0,24.0,Mailed Check,Yes,$35.54 
133.0,40.0,1.0,Yes,43.0,40.0,Salary,89440.0,26.0,Sales,Female,Divorced,2.0,15.0,Direct Deposit,Yes,$43.00 
134.0,44.0,10.0,Yes,43.0,40.0,Salary,89440.0,26.0,Sales,Female,Divorced,6.0,18.0,Direct Deposit,Yes,$43.00 
135.0,49.0,18.0,Yes,62.53,40.0,Salary,130062.4,77.0,Healthcare,Male,Single,5.0,15.0,Direct Deposit,Yes,$62.53 
136.0,58.0,20.0,Yes,62.53,40.0,Salary,130062.4,77.0,Healthcare,Male,Single,2.0,10.0,Direct Deposit,Yes,$62.53 
137.0,34.0,1.0,No,26.06,40.0,Salary,54204.8,35.0,Laboratory,Female,Married,5.0,8.0,Direct Deposit,Yes,$26.06 
138.0,39.0,9.0,No,26.06,40.0,Salary,54204.8,35.0,Laboratory,Female,Married,5.0,16.0,Direct Deposit,Yes,$26.06 
139.0,37.0,7.0,No,60.01,40.0,Salary,124820.8,34.0,Healthcare,Female,Married,5.0,15.0,Mailed Check,Yes,$60.01 
140.0,60.0,11.0,No,60.01,40.0,Salary,124820.8,34.0,Healthcare,Female,Married,2.0,15.0,Mailed Check,Yes,$60.01 
141.0,39.0,9.0,No,50.74,40.0,Salary,105539.2,74.0,Manufacturing,Female,Married,3.0,15.0,Mailed Check,Yes,$50.74 
142.0,54.0,11.0,Yes,50.74,40.0,Salary,105539.2,74.0,Manufacturing,Female,Married,9.0,15.0,Mailed Check,Yes,$50.74 
143.0,39.0,8.0,No,53.28,40.0,Salary,110614.4,62.0,Manufacturing,Male,Divorced,4.0,7.0,Mailed Check,Yes,$53.28 
144.0,54.0,10.0,No,53.28,40.0,Salary,110614.4,62.0,Manufacturing,Male,Divorced,1.0,24.0,Mailed Check,Yes,$53.28 
145.0,30.0,6.0,Yes,24.64,40.0,Salary,51251.2,-10.0,Human_Resources,Female,Divorced,2.0,22.0,Direct Deposit,Yes,$24.64 
146.0,30.0,1.0,No,24.64,40.0,Salary,51251.2,-10.0,Human_Resources,Female,Divorced,3.0,15.0,Direct Deposit,Yes,$24.64 
147.0,39.0,8.0,No,86.33,40.0,Salary,179566.4,-2.0,Research,Female,Married,3.0,12.0,Mailed Check,Yes,$86.33 
148.0,47.0,12.0,Yes,86.33,40.0,Salary,179566.4,-2.0,Research,Female,Married,4.0,8.0,Mailed Check,Yes,$86.33 
149.0,33.0,7.0,Yes,31.1,40.0,Salary,64688.0,84.0,Human_Resources,Female,Single,1.0,21.0,Mailed Check,Yes,$31.10 
150.0,37.0,7.0,No,31.1,40.0,Salary,64688.0,84.0,Human_Resources,Female,Single,6.0,15.0,Mailed Check,Yes,$31.10 
151.0,34.0,5.0,No,23.37,40.0,Salary,48609.6,60.0,Information_Technology,Male,Divorced,2.0,18.0,Mailed Check,Yes,$23.37 
152.0,35.0,9.0,Yes,23.37,40.0,Salary,48609.6,60.0,Information_Technology,Male,Divorced,5.0,25.0,Mailed Check,Yes,$23.37 
153.0,50.0,7.0,No,60.42,40.0,Salary,125673.6,44.0,Information_Technology,Male,Divorced,1.0,12.0,Direct Deposit,Yes,$60.42 
154.0,55.0,19.0,No,60.42,40.0,Salary,125673.6,44.0,Information_Technology,Male,Divorced,8.0,24.0,Direct Deposit,Yes,$60.42 
155.0,36.0,2.0,Yes,28.04,40.0,Salary,58323.2,61.0,Manufacturing,Male,Married,2.0,8.0,Mailed Check,Yes,$28.04 
156.0,38.0,7.0,Yes,28.04,40.0,Salary,58323.2,61.0,Manufacturing,Male,Married,6.0,10.0,Mailed Check,Yes,$28.04 
157.0,43.0,3.0,No,59.17,40.0,Salary,123073.6,87.0,Sales,Female,Married,6.0,15.0,Mailed Check,Yes,$59.17 
158.0,55.0,14.0,No,59.17,40.0,Salary,123073.6,87.0,Sales,Female,Married,8.0,21.0,Mailed Check,Yes,$59.17 
159.0,31.0,3.0,No,25.41,40.0,Salary,52852.8,75.0,Marketing,Male,Single,2.0,15.0,Mailed Check,Yes,$25.41 
160.0,32.0,5.0,Yes,25.41,40.0,Salary,52852.8,75.0,Marketing,Male,Single,1.0,15.0,Mailed Check,Yes,$25.41 
161.0,30.0,2.0,Yes,25.57,40.0,Salary,53285.6,79.0,Healthcare,Male,Married,3.0,23.0,Mailed Check,Yes,$25.57 
162.0,33.0,9.0,No,25.57,40.0,Salary,53285.6,79.0,Healthcare,Male,Married,4.0,15.0,Mailed Check,Yes,$25.57 
163.0,34.0,5.0,Yes,28.09,40.0,Salary,58427.2,15.0,Sales,Male,Single,5.0,23.0,Mailed Check,Yes,$28.09 
164.0,36.0,5.0,No,28.09,40.0,Salary,58427.2,15.0,Sales,Male,Single,2.0,12.0,Mailed Check,Yes,$28.09 
165.0,48.0,11.0,Yes,33.29,40.0,Salary,69243.2,46.0,Research,Male,Single,3.0,17.0,Mailed Check,Yes,$33.29 
166.0,61.0,11.0,No,33.29,40.0,Salary,69243.2,46.0,Research,Male,Single,8.0,21.0,Mailed Check,Yes,$33.29 
167.0,41.0,3.0,No,91.85,40.0,Salary,289133.0,-5.0,Sales,Female,Married,6.0,25.0,Mailed Check,Yes,$91.85 
168.0,58.0,16.0,No,91.85,40.0,Salary,289133.0,-5.0,Sales,Female,Married,2.0,15.0,Mailed Check,Yes,$91.85 
169.0,57.0,15.0,Yes,45.29,40.0,Salary,94203.2,33.0,Healthcare,Male,Single,1.0,5.0,Mailed Check,Yes,$45.29 
170.0,58.0,10.0,No,45.29,40.0,Salary,94203.2,33.0,Healthcare,Male,Single,4.0,24.0,Mailed Check,Yes,$45.29 
171.0,41.0,8.0,No,96.17,40.0,Salary,200033.6,52.0,Laboratory,Male,Single,1.0,6.0,Direct Deposit,Yes,$96.17 
172.0,55.0,15.0,No,96.17,40.0,Salary,200033.6,52.0,Laboratory,Male,Single,4.0,21.0,Direct Deposit,Yes,$96.17 
173.0,48.0,5.0,No,76.51,40.0,Salary,159140.8,73.0,Information_Technology,Female,Single,8.0,22.0,Mailed Check,Yes,$76.51 
174.0,61.0,10.0,No,76.51,40.0,Salary,159140.8,73.0,Information_Technology,Female,Single,4.0,15.0,Mailed Check,Yes,$76.51 
175.0,37.0,4.0,No,57.15,40.0,Salary,128872.0,42.0,Information_Technology,Female,Divorced,6.0,23.0,Mailed Check,Yes,$57.15 
176.0,42.0,3.0,Yes,57.15,40.0,Salary,128872.0,42.0,Information_Technology,Female,Divorced,3.0,10.0,Mailed Check,Yes,$57.15 
177.0,55.0,16.0,No,64.59,40.0,Salary,134347.2,50.0,Manufacturing,Male,Divorced,8.0,5.0,Mailed Check,Yes,$64.59 
178.0,56.0,17.0,Yes,64.59,40.0,Salary,134347.2,50.0,Manufacturing,Male,Divorced,5.0,20.0,Mailed Check,Yes,$64.59 
179.0,26.0,3.0,Yes,22.38,40.0,Salary,46550.4,53.0,Laboratory,Male,Single,2.0,7.0,Direct Deposit,Yes,$22.38 
180.0,26.0,3.0,No,22.38,40.0,Salary,46550.4,53.0,Laboratory,Male,Single,2.0,15.0,Direct Deposit,Yes,$22.38 
181.0,38.0,6.0,No,44.26,40.0,Salary,92060.8,85.0,Human_Resources,Female,Married,1.0,18.0,Mailed Check,Yes,$44.26 
182.0,60.0,14.0,No,44.26,40.0,Salary,92060.8,85.0,Human_Resources,Female,Married,4.0,22.0,Mailed Check,Yes,$44.26 
183.0,43.0,3.0,No,71.87,40.0,Salary,149489.6,66.0,Marketing,Female,Married,8.0,19.0,Direct Deposit,Yes,$71.87 
184.0,55.0,8.0,Yes,71.87,40.0,Salary,149489.6,66.0,Marketing,Female,Married,1.0,7.0,Direct Deposit,Yes,$71.87 
185.0,43.0,3.0,No,64.88,40.0,Salary,134950.4,42.0,Human_Resources,Female,Divorced,8.0,15.0,Mailed Check,Yes,$64.88 
